Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"HUBB","Hubbell Inc","336,725.00","0.20%","Common Stock","443510607","$151,873,076.75"
"TGT","Target Corp","1,595,133.00","0.20%","Common Stock","87612E106","$151,856,661.60"
"ALLE","Allegion plc","941,580.00","0.20%","Common Stock","G0176J109","$151,377,816.60"
"TJX","TJX Cos Inc/The","969,551.00","0.20%","Common Stock","872540109","$151,812,295.58"
"JKHY","Jack Henry & Associates Inc","816,197.00","0.20%","Common Stock","426281101","$151,265,790.01"
"NFLX","Netflix Inc","1,627,978.00","0.20%","Common Stock","64110L106","$151,776,388.94"
"SNA","Snap-on Inc","433,154.00","0.20%","Common Stock","833034101","$151,616,894.62"
"MTD","Mettler-Toledo International Inc","107,331.00","0.20%","Common Stock","592688105","$151,595,377.71"
"CPRT","Copart Inc","3,851,393.00","0.20%","Common Stock","217204106","$151,590,828.48"
"AES","AES Corp/The","10,937,199.00","0.20%","Common Stock","00130H105","$151,589,578.14"
"IP","International Paper Co","3,858,187.00","0.20%","Common Stock","460146103","$151,588,167.23"
"TMO","Thermo Fisher Scientific Inc","263,006.00","0.20%","Common Stock","883556102","$151,412,554.20"
"AEP","American Electric Power Co Inc","1,322,103.00","0.20%","Common Stock","025537101","$151,539,445.86"
"HUM","Humana Inc","588,074.00","0.20%","Common Stock","444859102","$151,534,908.32"
"TDY","Teledyne Technologies Inc","292,450.00","0.20%","Common Stock","879360105","$151,530,043"
"F","Ford Motor Co","11,255,299.00","0.20%","Common Stock","345370860","$151,496,324.54"
"JNJ","Johnson & Johnson","730,736.00","0.20%","Common Stock","478160104","$151,496,187.52"
"URI","United Rentals Inc","185,486.00","0.20%","Common Stock","911363109","$151,491,980.78"
"LNT","Alliant Energy Corp","2,328,814.00","0.20%","Common Stock","018802108","$151,442,774.42"
"ATO","Atmos Energy Corp","904,896.00","0.20%","Common Stock","049560105","$151,425,296.64"
"CRM","Salesforce Inc","571,240.00","0.20%","Common Stock","79466L302","$151,167,241.20"
"J","Jacobs Solutions Inc","1,115,907.00","0.20%","Common Stock","46982L108","$151,406,261.76"
"NI","NiSource Inc","3,651,966.00","0.20%","Common Stock","65473P105","$151,373,990.70"
"AOS","A O Smith Corp","2,222,209.00","0.20%","Common Stock","831865209","$151,354,654.99"
"UNP","Union Pacific Corp","641,063.00","0.20%","Common Stock","907818108","$150,399,790.43"
"EA","Electronic Arts Inc","741,649.00","0.20%","Common Stock","285512109","$151,140,649.71"
"TMUS","T-Mobile US Inc","772,723.00","0.20%","Common Stock","872590104","$151,268,254.48"
"FTNT","Fortinet Inc","1,849,715.00","0.20%","Common Stock","34959E109","$151,195,704.10"
"IR","Ingersoll Rand Inc","1,863,801.00","0.20%","Common Stock","45687V106","$151,191,537.12"
"VZ","Verizon Communications Inc","3,780,871.00","0.20%","Common Stock","92343V104","$151,159,222.58"
"ADSK","Autodesk Inc","502,929.00","0.20%","Common Stock","052769106","$151,115,076.63"
"HOLX","Hologic Inc","2,016,974.00","0.20%","Common Stock","436440101","$151,091,522.34"
"IDXX","IDEXX Laboratories Inc","215,116.00","0.20%","Common Stock","45168D104","$151,037,245.92"
"PRU","Prudential Financial Inc","1,315,170.00","0.20%","Common Stock","744320102","$151,034,122.80"
"FE","FirstEnergy Corp","3,399,403.00","0.20%","Common Stock","337932107","$151,001,481.26"
"DAY","Dayforce Inc","2,182,680.00","0.20%","Common Stock","15677J108","$150,997,802.40"
"MS","Morgan Stanley","839,931.00","0.20%","Common Stock","617446448","$150,985,996.56"
"PNR","Pentair PLC","1,434,012.00","0.20%","Common Stock","G7S00T104","$150,958,443.24"
"O","Realty Income Corp","2,663,395.00","0.20%","Real Estate Investment Trust","756109104","$150,934,594.65"
"KO","Coca-Cola Co/The","2,149,745.00","0.20%","Common Stock","191216100","$150,933,596.45"
"DE","Deere & Co","321,917.00","0.20%","Common Stock","244199105","$150,905,032.09"
"NUE","Nucor Corp","918,538.00","0.20%","Common Stock","670346105","$150,879,051.88"
"NVDA","NVIDIA Corp","821,275.00","0.20%","Common Stock","67066G104","$150,860,004.75"
"EPAM","EPAM Systems Inc","712,921.00","0.20%","Common Stock","29414B104","$150,846,954.39"
"JBL","Jabil Inc","656,294.00","0.20%","Common Stock","466313103","$150,803,235.32"
"TDG","TransDigm Group Inc","115,840.00","0.20%","Common Stock","893641100","$150,799,353.60"
"APO","Apollo Global Management Inc","1,012,422.00","0.20%","Common Stock","03769M106","$150,739,511.58"
"MO","Altria Group Inc","2,571,685.00","0.20%","Common Stock","02209S103","$150,726,457.85"
"KIM","Kimco Realty Corp","7,524,168.00","0.20%","Real Estate Investment Trust","49446R109","$150,709,085.04"
"AZO","AutoZone Inc","44,133.00","0.20%","Common Stock","053332102","$150,661,676.73"
"DXCM","Dexcom Inc","2,234,086.00","0.20%","Common Stock","252131107","$150,644,418.98"
"COR","Cencora Inc","442,932.00","0.20%","Common Stock","03073E105","$150,610,167.96"
"AMP","Ameriprise Financial Inc","303,503.00","0.20%","Common Stock","03076C106","$150,513,207.76"
"WMT","Walmart Inc","1,333,586.00","0.20%","Common Stock","931142103","$150,161,783.60"
"BDX","Becton Dickinson & Co","760,809.00","0.20%","Common Stock","075887109","$149,681,562.66"
"PH","Parker-Hannifin Corp","169,772.00","0.20%","Common Stock","701094104","$150,497,784.84"
"SRE","Sempra","1,694,592.00","0.20%","Common Stock","816851109","$149,276,609.28"
"CMS","CMS Energy Corp","2,155,905.00","0.20%","Common Stock","125896100","$150,417,491.85"
"NXPI","NXP Semiconductors NV","653,984.00","0.20%","Common Stock","N6596X109","$149,723,096.96"
"ROST","Ross Stores Inc","830,155.00","0.20%","Common Stock","778296103","$149,992,405.40"
"T","AT&T Inc","6,188,379.00","0.20%","Common Stock","00206R102","$150,377,609.70"
"CARR","Carrier Global Corp","2,826,509.00","0.20%","Common Stock","14448C104","$150,370,278.80"
"DTE","DTE Energy Co","1,161,083.00","0.20%","Common Stock","233331107","$148,978,559.73"
"TRGP","Targa Resources Corp","822,622.00","0.20%","Common Stock","87612G101","$150,260,134.52"
"BX","Blackstone Inc","963,776.00","0.20%","Common Stock","09260D107","$150,185,214.08"
"FICO","Fair Isaac Corp","86,162.00","0.20%","Common Stock","303250104","$150,148,486.06"
"SJM","J M Smucker Co/The","1,514,151.00","0.20%","Common Stock","832696405","$150,128,071.65"
"RJF","Raymond James Financial Inc","904,135.00","0.20%","Common Stock","754730109","$150,086,410"
"ACN","Accenture PLC","554,476.00","0.20%","Common Stock","G1151C101","$150,080,018.92"
"ADM","Archer-Daniels-Midland Co","2,592,956.00","0.20%","Common Stock","039483102","$150,002,504.60"
"TRMB","Trimble Inc","1,830,366.00","0.20%","Common Stock","896239100","$149,998,493.70"
"GEHC","GE HealthCare Technologies Inc","1,786,798.00","0.20%","Common Stock","36266G107","$149,983,824.12"
"TAP","Molson Coors Beverage Co","3,221,686.00","0.20%","Common Stock","60871R209","$149,969,483.30"
"OTIS","Otis Worldwide Corp","1,718,078.00","0.20%","Common Stock","68902V107","$149,885,124.72"
"HAS","Hasbro Inc","1,837,070.00","0.20%","Common Stock","418056107","$149,831,429.20"
"PLD","Prologis Inc","1,163,597.00","0.20%","Real Estate Investment Trust","74340W103","$148,463,341.23"
"SHW","Sherwin-Williams Co/The","462,584.00","0.20%","Common Stock","824348106","$149,803,202.56"
"ITW","Illinois Tool Works Inc","595,356.00","0.20%","Common Stock","452308109","$149,773,708.92"
"CVS","CVS Health Corp","1,911,266.00","0.20%","Common Stock","126650100","$149,766,803.76"
"PEP","PepsiCo Inc","1,008,217.00","0.20%","Common Stock","713448108","$148,258,309.85"
"SWK","Stanley Black & Decker Inc","1,989,623.00","0.20%","Common Stock","854502101","$149,699,234.52"
"EME","EMCOR Group Inc","240,735.00","0.20%","Common Stock","29084Q100","$149,698,652.40"
"NSC","Norfolk Southern Corp","512,941.00","0.20%","Common Stock","655844108","$149,573,595.60"
"BK","Bank of New York Mellon Corp/The","1,274,948.00","0.20%","Common Stock","064058100","$149,500,402.48"
"LDOS","Leidos Holdings Inc","801,577.00","0.20%","Common Stock","525327102","$149,125,385.08"
"UNH","UnitedHealth Group Inc","459,617.00","0.20%","Common Stock","91324P102","$149,449,063.72"
"CMI","Cummins Inc","287,793.00","0.20%","Common Stock","231021106","$149,445,149.04"
"CAG","Conagra Brands Inc","8,654,501.00","0.20%","Common Stock","205887102","$149,376,687.26"
"XEL","Xcel Energy Inc","2,022,667.00","0.20%","Common Stock","98389B100","$149,373,957.95"
"DHR","Danaher Corp","655,009.00","0.20%","Common Stock","235851102","$149,348,602.09"
"CVX","Chevron Corp","996,913.38","0.20%","Common Stock","166764100","$149,337,623.58"
"PFG","Principal Financial Group Inc","1,672,741.00","0.20%","Common Stock","74251V102","$149,275,406.84"
"XOM","Exxon Mobil Corp","1,262,656.00","0.20%","Common Stock","30231G102","$149,182,806.40"
"CEG","Constellation Energy Corp","416,824.00","0.20%","Common Stock","21037T109","$149,143,795.44"
"ES","Eversource Energy","2,231,767.00","0.20%","Common Stock","30040W108","$147,385,892.68"
"PODD","Insulet Corp","511,320.00","0.20%","Common Stock","45784P101","$149,085,572.40"
"ANET","Arista Networks Inc","1,140,347.00","0.20%","Common Stock","040413205","$149,077,563.31"
"BXP","BXP Inc","2,145,760.00","0.19%","Real Estate Investment Trust","101121101","$149,023,032"
"PSA","Public Storage","564,036.00","0.19%","Real Estate Investment Trust","74460D109","$147,444,650.76"
"OKE","ONEOK Inc","2,045,765.00","0.19%","Common Stock","682680103","$148,972,607.30"
"IBKR","Interactive Brokers Group Inc","2,263,882.00","0.19%","Common Stock","45841N107","$148,952,116.19"
"HD","Home Depot Inc/The","429,851.00","0.19%","Common Stock","437076102","$148,896,087.89"
"SOLV","Solventum Corp","1,842,919.00","0.19%","Common Stock","83444M101","$148,870,996.82"
"DLTR","Dollar Tree Inc","1,214,865.00","0.19%","Common Stock","256746108","$148,808,813.85"
"ETR","Entergy Corp","1,617,248.00","0.19%","Common Stock","29364G103","$148,770,643.52"
"STE","STERIS PLC","583,106.00","0.19%","Common Stock","G8473T100","$148,767,833.78"
"D","Dominion Energy Inc","2,599,675.00","0.19%","Common Stock","25746U109","$148,753,403.50"
"AMZN","Amazon.com Inc","651,153.00","0.19%","Common Stock","023135106","$148,742,879.79"
"EVRG","Evergy Inc","2,053,302.00","0.19%","Common Stock","30034W106","$148,720,663.86"
"EMR","Emerson Electric Co","1,101,647.00","0.19%","Common Stock","291011104","$148,711,328.53"
"CSX","CSX Corp","4,069,402.00","0.19%","Common Stock","126408103","$148,695,949.08"
"NEE","NextEra Energy Inc","1,857,248.00","0.19%","Common Stock","65339F101","$148,654,129.92"
"TXN","Texas Instruments Inc","830,842.00","0.19%","Common Stock","882508104","$148,571,166.44"
"BIIB","Biogen Inc","850,061.00","0.19%","Common Stock","09062X103","$148,505,656.70"
"LWEH6","E-mini S&P 500 Equal Weight Futures","940.00","0.19%","Index Future","LWEH6","$148,454,200"
"HPE","Hewlett Packard Enterprise Co","5,975,188.00","0.19%","Common Stock","42824C109","$147,587,143.60"
"VMC","Vulcan Materials Co","508,589.00","0.19%","Common Stock","929160109","$148,446,957.32"
"LOW","Lowe's Cos Inc","613,016.00","0.19%","Common Stock","548661107","$148,392,783.12"
"NVR","NVR Inc","20,055.00","0.19%","Common Stock","62944T105","$148,348,238.85"
"APTV","Aptiv PLC","1,921,516.00","0.19%","Common Stock","G3265R107","$148,341,035.20"
"GDDY","GoDaddy Inc","1,176,423.00","0.19%","Common Stock","380237107","$148,323,411.84"
"GRMN","Garmin Ltd","717,817.00","0.19%","Common Stock","H2906T109","$147,726,738.60"
"DGX","Quest Diagnostics Inc","840,869.00","0.19%","Common Stock","74834L100","$148,278,839.46"
"WMB","Williams Cos Inc/The","2,494,750.00","0.19%","Common Stock","969457100","$146,990,670"
"KVUE","Kenvue Inc","8,714,407.00","0.19%","Common Stock","49177J102","$148,232,063.07"
"PANW","Palo Alto Networks Inc","782,203.00","0.19%","Common Stock","697435105","$148,219,646.47"
"DVA","DaVita Inc","1,271,715.00","0.19%","Common Stock","23918K108","$148,167,514.65"
"BG","Bunge Global SA","1,649,572.00","0.19%","Common Stock","H11356104","$148,115,069.88"
"CSGP","CoStar Group Inc","2,223,851.00","0.19%","Common Stock","22160N109","$148,108,476.60"
"RMD","ResMed Inc","600,175.00","0.19%","Common Stock","761152107","$148,045,167.25"
"ORLY","O'Reilly Automotive Inc","1,612,051.00","0.19%","Common Stock","67103H107","$147,905,679.25"
"VST","Vistra Corp","913,853.00","0.19%","Common Stock","92840M102","$147,651,229.21"
"ADI","Analog Devices Inc","536,009.00","0.19%","Common Stock","032654105","$147,842,002.38"
"LII","Lennox International Inc","298,374.00","0.19%","Common Stock","526107107","$147,838,349.52"
"TT","Trane Technologies PLC","378,109.00","0.19%","Common Stock","G8994E103","$147,409,574.74"
"PYPL","PayPal Holdings Inc","2,467,865.00","0.19%","Common Stock","70450Y103","$147,726,398.90"
"WDAY","Workday Inc","677,632.00","0.19%","Common Stock","98138H101","$147,716,999.68"
"TSCO","Tractor Supply Co","2,855,353.00","0.19%","Common Stock","892356106","$147,678,857.16"
"HAL","Halliburton Co","5,197,436.00","0.19%","Common Stock","406216101","$146,515,720.84"
"PFE","Pfizer Inc","5,854,654.00","0.19%","Common Stock","717081103","$147,595,827.34"
"KMB","Kimberly-Clark Corp","1,463,438.00","0.19%","Common Stock","494368103","$146,021,843.64"
"APH","Amphenol Corp","1,088,341.00","0.19%","Common Stock","032095101","$147,078,402.74"
"WELL","Welltower Inc","789,964.00","0.19%","Real Estate Investment Trust","95040Q104","$147,272,988.52"
"MCHP","Microchip Technology Inc","2,222,866.00","0.19%","Common Stock","595017104","$147,242,643.84"
"BBY","Best Buy Co Inc","2,036,353.00","0.19%","Common Stock","086516101","$145,191,968.90"
"WBD","Warner Bros Discovery Inc","5,111,169.00","0.19%","Common Stock","934423104","$146,946,108.75"
"LH","Labcorp Holdings Inc","576,074.00","0.19%","Common Stock","504922105","$146,933,434.44"
"CSCO","Cisco Systems Inc","1,880,807.00","0.19%","Common Stock","17275R102","$146,909,834.77"
"COST","Costco Wholesale Corp","172,661.00","0.19%","Common Stock","22160K105","$146,761,850"
"AAPL","Apple Inc","541,390.00","0.19%","Common Stock","037833100","$146,700,448.30"
"ROK","Rockwell Automation Inc","367,973.00","0.19%","Common Stock","773903109","$146,674,037.80"
"WDC","Western Digital Corp","829,560.00","0.19%","Common Stock","958102105","$146,633,025.60"
"AMD","Advanced Micro Devices Inc","681,714.00","0.19%","Common Stock","007903107","$146,534,424.30"
"WAT","Waters Corp","381,290.00","0.19%","Common Stock","941848103","$146,468,740.60"
"DOC","Healthpeak Properties Inc","9,076,009.00","0.19%","Real Estate Investment Trust","42250P103","$145,579,184.36"
"MDT","Medtronic PLC","1,497,841.00","0.19%","Common Stock","G5960L103","$146,354,044.11"
"OXY","Occidental Petroleum Corp","3,615,235.00","0.19%","Common Stock","674599105","$145,585,513.45"
"DLR","Digital Realty Trust Inc","946,258.00","0.19%","Real Estate Investment Trust","253868103","$145,260,065.58"
"TECH","Bio-Techne Corp","2,481,293.00","0.19%","Common Stock","09073M104","$146,297,035.28"
"MTCH","Match Group Inc","4,464,196.00","0.19%","Common Stock","57667L107","$146,291,702.92"
"IBM","International Business Machines Corp","482,766.00","0.19%","Common Stock","459200101","$146,176,717.14"
"ALGN","Align Technology Inc","917,138.00","0.19%","Common Stock","016255101","$146,081,740.64"
"SLB","SLB Ltd","3,779,921.00","0.19%","Common Stock","806857108","$144,884,371.93"
"TER","Teradyne Inc","739,826.00","0.19%","Common Stock","880770102","$145,908,483.72"
"CHTR","Charter Communications Inc","707,657.00","0.19%","Common Stock","16119P108","$145,791,495.14"
"MMM","3M Co","911,141.00","0.19%","Common Stock","88579Y101","$145,782,560"
"POOL","Pool Corp","627,380.00","0.19%","Common Stock","73278L105","$145,740,374"
"UBER","Uber Technologies Inc","1,793,399.00","0.19%","Common Stock","90353T100","$145,731,602.74"
"A","Agilent Technologies Inc","1,052,012.00","0.19%","Common Stock","00846U101","$145,724,702.24"
"MPWR","Monolithic Power Systems Inc","154,162.00","0.19%","Common Stock","609839105","$145,707,755.92"
"CCI","Crown Castle Inc","1,665,152.00","0.19%","Real Estate Investment Trust","22822V101","$143,919,087.36"
"ZBH","Zimmer Biomet Holdings Inc","1,621,430.00","0.19%","Common Stock","98956P102","$145,604,414"
"LYB","LyondellBasell Industries NV","3,337,069.00","0.19%","Common Stock","N53745100","$145,496,208.40"
"COP","ConocoPhillips","1,559,219.00","0.19%","Common Stock","20825C104","$145,490,724.89"
"ARES","Ares Management Corp","846,570.00","0.19%","Common Stock","03990B101","$144,162,405.30"
"GPC","Genuine Parts Co","1,150,108.00","0.19%","Common Stock","372460105","$143,982,020.52"
"KEYS","Keysight Technologies Inc","709,359.00","0.19%","Common Stock","49338L103","$144,503,521.89"
"AMT","American Tower Corp","837,361.00","0.19%","Real Estate Investment Trust","03027X100","$144,469,893.33"
"CLX","Clorox Co/The","1,472,197.00","0.19%","Common Stock","189054109","$144,363,637.82"
"TEL","TE Connectivity PLC","618,230.00","0.19%","Common Stock","G87052109","$144,362,887.30"
"IRM","Iron Mountain Inc","1,765,325.00","0.19%","Real Estate Investment Trust","46284V101","$143,026,631.50"
"KDP","Keurig Dr Pepper Inc","5,111,169.00","0.19%","Common Stock","49271V100","$144,339,412.56"
"QCOM","QUALCOMM Inc","828,373.00","0.19%","Common Stock","747525103","$144,319,144.06"
"DVN","Devon Energy Corp","3,929,603.00","0.19%","Common Stock","25179M103","$143,155,437.29"
"STZ","Constellation Brands Inc","1,016,320.00","0.19%","Common Stock","21036P108","$144,053,196.80"
"DOW","Dow Inc","6,138,013.00","0.19%","Common Stock","260557103","$143,752,264.46"
"TTD","Trade Desk Inc/The","3,848,438.00","0.19%","Common Stock","88339J105","$143,508,253.02"
"Q","Qnity Electronics Inc","1,750,946.00","0.19%","Common Stock","74743L100","$143,384,967.94"
"BKR","Baker Hughes Co","3,141,877.00","0.19%","Common Stock","05722G100","$143,143,916.12"
"SWKS","Skyworks Solutions Inc","2,193,498.00","0.19%","Common Stock","83088M102","$143,103,809.52"
"CAT","Caterpillar Inc","245,313.00","0.19%","Common Stock","149123101","$142,872,744.33"
"STX","Seagate Technology Holdings PLC","504,920.00","0.19%","Common Stock","G7997R103","$142,816,622"
"BLDR","Builders FirstSource Inc","1,377,411.00","0.19%","Common Stock","12008R107","$142,768,650.15"
"RVTY","Revvity Inc","1,458,191.00","0.19%","Common Stock","714046109","$142,567,334.07"
"CTRA","Coterra Energy Inc","5,585,987.00","0.19%","Common Stock","127097103","$142,554,388.24"
"AMAT","Applied Materials Inc","548,554.00","0.19%","Common Stock","038222105","$142,080,971.54"
"CDNS","Cadence Design Systems Inc","446,520.00","0.19%","Common Stock","127387108","$141,801,356.40"
"GLW","Corning Inc","1,602,267.00","0.19%","Common Stock","219350105","$141,640,402.80"
"DDOG","Datadog Inc","998,184.00","0.19%","Common Stock","23804L103","$141,582,418.56"
"PWR","Quanta Services Inc","326,590.00","0.19%","Common Stock","74762E102","$141,423,267.70"
"DHI","DR Horton Inc","972,057.00","0.18%","Common Stock","23331A109","$141,317,646.66"
"EQT","EQT Corp","2,636,448.00","0.18%","Common Stock","26884L109","$141,049,968"
"NRG","NRG Energy Inc","897,555.00","0.18%","Common Stock","629377508","$140,880,232.80"
"PHM","PulteGroup Inc","1,180,114.00","0.18%","Common Stock","745867101","$140,563,378.54"
"BF/B","Brown-Forman Corp","4,968,203.00","0.18%","Common Stock","115637209","$139,606,504.30"
"CDW","CDW Corp/DE","1,009,299.00","0.18%","Common Stock","12514G108","$140,802,257"
"FIX","Comfort Systems USA Inc","147,751.00","0.18%","Common Stock","199908104","$140,480,173.29"
"CRWD","Crowdstrike Holdings Inc","290,565.00","0.18%","Common Stock","22788C105","$140,383,574.10"
"VLO","Valero Energy Corp","857,570.00","0.18%","Common Stock","91913Y100","$140,255,573.50"
"NTAP","NetApp Inc","1,264,247.00","0.18%","Common Stock","64110D104","$140,204,992.30"
"KKR","KKR & Co Inc","1,066,401.00","0.18%","Common Stock","48251W104","$140,146,419.42"
"EOG","EOG Resources Inc","1,354,474.00","0.18%","Common Stock","26875P101","$140,079,701.08"
"PSKY","Paramount Skydance Corp","10,253,683.00","0.18%","Common Stock","69932A204","$139,552,625.63"
"APA","APA Corp","5,734,527.00","0.18%","Common Stock","03743Q108","$139,979,804.07"
